Provider_Name,Type,City,Total_Claims,Successful_Claims
Barry Group,Restaurant,South Kathryn,7,5.0
Butler-Richardson,Grocery Store,East Heatherport,12,4.0
Miller Inc,Grocery Store,Coleburgh,4,4.0
"Barnes, Castro and Curtis",Restaurant,Zimmermanville,5,4.0
"Harper, Blake and Alexander",Catering Service,Devinmouth,6,4.0
Mckinney Ltd,Restaurant,East Stephanie,6,3.0
Campbell LLC,Supermarket,Perezport,5,3.0
Rogers-Warren,Grocery Store,Jamesfurt,9,3.0
Bradford-Martinez,Supermarket,New Carol,5,3.0
Nelson LLC,Restaurant,Lake Andrewmouth,9,3.0
